1709388608
0
7	0	636023453	SHINE CORAL	-38.6606	-58.39456	11.9	270	3	1709382514	
7	0	775331000	RIO CARONI	8.34016	-62.71698	0.1	116	3	1709388477	
6	0	311001189	SILVER NOVA	0.1668	-50.88175	20.1	76.2	3	1709316482	
7	0	366904890	HON JAMES L OBERSTAR	41.69423	-83.45962	0	10	3	1709387068	
9	0	211557960	COLMAR	44.83476	20.45569	5.2	115.6	4	1709369979	
7	0	636018471	ZIM BALTIMORE	-33.18141	-71.87076	11.7	166.9	4	1709357162	
8	0	538009213	ECO WEST COAST	59.42394	27.73848	0	5	4	1709388607	
7	0	355305000	MSC SANDRA	33.61022	-7.59893	2.9	333	4	1709388606	
8	0	241643000	SOFIA	19.14939	-110.07588	13.3	328.8	4	1709372613	
8	0	538005145	OTIS	16.63588	-48.47269	11.9	107.4	4	1709388583	
8	0	710023040	ANDRE REBOUCAS	43.64905	-2.76655	10.1	240.3	4	1709388602	
7	0	477462400	HERMANN SCHULTE	44.20355	-7.58884	11.3	270	4	1709313230	
9	0	367414110	FINDLAY	39.2764	-81.65862	5.3	86.9	3	1709388467	
3	0	338806000	PILILAAU	64.35743	11.27815	0	71	4	1709388550	
3	0	303890000	NELSON V. BRITTIN	45.54778	-122.69828	0	132	4	1709381264	
7	0	636020252	LONG BEACH EXPRESS	-34.55782	-52.88284	18.9	214	4	1709346084	
7	0	538010806	OOCL ST.LAWRENCE	45.58686	-73.50416	0	197	4	1709388457	
8	0	241414000	MARAN GAS AMPHIPOLIS	41.75562	-31.39124	16	248.6	4	1709373701	
8	0	228385600	ELISA LARUS	39.82404	-35.11105	11.1	253.8	4	1709317100	
8	0	311000634	YAKOV GAKKEL	72.45444	26.11243	18.7	45.9	4	1709346394	
8	0	352002442	CHRIS. DE MARGERIE	66.7958	8.39814	14.5	22.7	4	1709388536	
7	0	366930730	AMERICAN SPIRIT	46.70721	-92.04322	0	47	4	1709388596	
7	0	636092976	MSC ALESSIA	11.7132	-74.25504	15.7	71.5	4	1709352041	
7	0	636018660	MSC ANTONIA	-20.13968	57.49418	0	239	4	1709387825	
7	0	477181200	SEASPAN BELLWETHER	3.8934	-77.07888	0	264	4	1709388380	
9	0	710003757	HB PIRARARA	-1.85911	-53.39312	4.9	281	4	1709355350	
9	0	367522230	YOUNGSUK CHI	39.08123	-84.43193	0	354	4	1709388606	
7	0	215217000	CMA CGM AQUILA	20.4946	-109.14478	12.2	113.7	4	1709387044	
7	0	636022451	MSC MARTINA MARIA	18.48307	-107.40025	11.3	83.3	4	1709388601	
7	0	355906000	MSC OSCAR	33.96981	24.62799	16.9	289	4	1709387371	
9	0	367702340	RANDALL D CHAMNESS	30.87606	-91.51572	9.3	180.8	4	1709316493	
0	0	710002984	BERTOLINI CXXXVI	-2.38918	-54.38679	4.2	267.7	4	1709388602	
9	0	367535280	JANICE E STRAIT	32.73815	-91.15061	0	314	2	1709385106	
6	0	735057505	BELUGA	-0.96509	-90.96458	0.1	183	1	1709330660	
7	0	356585000	FEDERAL IZUMI	-4.1688	-32.40269	13	128.1	3	1709379120	
9	0	366951240	MARTHA INGRAM	35.46807	-89.99773	4.3	331	4	1709363102	
9	0	319077100	MISSING LINK	22.24247	-75.75956	0.1	82	1	1709386291	
